"#","Institution Name","City","State","Latitude","Longitude"
"66","Sevan Botanical Garden","Sevan","Sevan","40.5475","44.9553"
"67","Vanadzor Botanical Garden","Vanadzor","","40.4900","44.3000"
"68","Yerevan Botanic Garden of the Institute of Botany of the National Academy of Sciences of Armenia","Yerevan","","40.1666","44.5166"
"69","Botanic Gardens of South Australia","Adelaide","South Australia","-34.918446","138.611954"
"70","Mount Lofty Botanic Garden","ADELAIDE","South Australia","-34.98632","138.71663"
"71","South Australian Seed Conservation Centre - Adelaide Botanic Gardens","Adelaide","South Australia","-34.918446","138.611954"
"72","Waite Arboretum","Adelaide","South Australia","-34.9654","138.62816"
"73","Albury Botanic Garden","Albury","New South Wales","-36.0814158","146.9101429"
"74","Alice Springs Desert Park","Alice Springs","Northern Territory","-23.706456","133.83236"
"75","Northern Territory Seed Bank - Alice Springs","Alice Springs","Northern Territory","-23.706456","133.83236"
"76","Olive Pink Botanic Garden","Alice Springs","Northern Territory","-23.707704","133.882334"
"77","Alexandra Gardens","Ararat","Victoria","-37.28025","142.93111"
"78","Fangorn, private garden","Armidale","New South Wales","-30.48639","151.59667"
"79","Atherton Rainforest Arboretum and Herbarium Reference Collection","Atherton","","-17.25822","145.48525"
"80","Auburn Botanical Gardens","AUBURN","NSW","-33.8583495","151.0169354"
"81","Ballarat Botanic Gardens","Ballarat","Victoria","-37.5362494","143.8726117"
"82","Kirk's Water wise Garden","Ballarat","","-37.55177","143.93168"
"83","Lake Esmond Reserve","Ballarat","","-37.57503","143.87464"
"84","Sylvan Grove Native Garden","Bankstown","","-33.97878","151.00037"
"85","Wirrimbirra Field Study Centre and Sanctuary","Bargo","","-34.261621","150.574061"
"86","Eurobodalla Regional Botanic Gardens","BATEMAN'S BAY","","-35.75323","150.16542"
"87","Queen Victoria Park","Beechworth","","-36.35567","146.69172"
"88","Bellingen Hospital Grounds","Bellingen","","-30.457233","152.893383"
"89","Benalla Botanical Gardens","Benalla","","-36.553275","145.978442"
"90","Bendigo Botanic Gardens, White Hills","Bendigo","Victoria","-36.7238055","144.3064158"
"91","Wittunga Botanic Garden","Blackwood","South Australia","-35.0238338","138.6094484"
"92","Illawarra Grevillea Park","Bulli","","-34.3311817","150.9120224"
"93","Bundaberg Botanic Gardens","Bundaberg","Queensland","-24.85445","152.32421"
"94","Buninyong Botanic Gardens","Buninyong","","-37.65289","143.88719"
"95","Burnley Gardens","Burnley","","-37.8296","145.02283"
"96","The Cairns Botanic Gardens","Cairns","Queensland","-16.8989865","145.7477678"
"97","Maranoa Gardens","Camberwell","Victoria","-37.8101008","145.0898296"
"98","Camperdown Botanic Gardens","Camperdown","","-38.23695","143.11773"
"99","Australian National Botanic Gardens","Canberra","Australian Capital Territory","-35.278594","149.108481"
"100","Genetic Resources Section","Canberra","","-35.273161","149.114717"
"101","National Arboretum Canberra","Canberra","Australian Capital Territory","-35.287797","149.069324"
"102","National Seed Bank - Australian National Botanic Gardens","Canberra","Australian Capital Territory","-35.278594","149.108481"
"103","Redlands Indigiscape Centre","Capalaba","QLD","-27.5476844","153.2172087"
"104","Galaringi Botanic Parkland","Carlingford","","-33.783948","151.053324"
"105","Castlemaine Botanical Garden","Castlemaine","","-37.05262","144.21557"
"106","North Coast Regional Botanic Garden","Coffs Harbour","NSW","-30.295381","153.124429"
"107","Colac Botanical Gardens","Colac","","-38.33258","143.59025"
"108","Peter Francis Points Arboretum","Coleraine","","-37.60798","141.68475"
"109","Cooktown Botanic Gardens","Cooktown","QLD","-15.4706637","145.261143"
"110","Coolgardie Arboretum","Coolgardie","","-30.95403","121.16234"
"111","Demesne Farm Minor Arboretum","Coomba Park","","-32.25475","152.45478"
"112","Dame Elisabeth Murdoch Arboretum","Cranbourne","","-38.155986","145.176429"
"113","Royal Botanic Gardens Victoria - Cranbourne Gardens","Cranbourne","Victoria","-38.1329334","145.2734743"
"114","George Brown Darwin Botanic Gardens","Darwin","NT","-12.4465143","130.8349462"
"115","George Brown Darwin Botanic Gardens SEED BANK","Darwin","NT","-12.4465143","130.8349462"
"116","Wombat Hill Botanical Gardens","Daylesford","","-37.3434","144.15088"
"117","Stony Range Flora Reserve","Dee Why","","-33.7578252","151.2827506"
"118","Tasmanian Arboretum Inc","Devonport","Tasmania","-41.230875","146.298497"
"119","Wail Arboretum","Dimboola","","-36.50804","142.09093"
"120","Daintree Wilderness Refugium","Diwan","Queensland","-16.202791","145.406573"
"121","Fruit Spirit Botanical Garden","Dorroughby","","-28.65006","153.35933"
"122","Emerald Botanic Gardens","Emerald","","-23.5317764","148.1654455"
"123","Esperance (Helms) Exotic & Indigenous Arboretum","Esperance","","-33.80395","121.8805"
"124","George Pentland Botanic Gardens","Frankston","","-38.1529953","145.1289616"
"125","Gayndah Botanical Gardens and Pioneer Place","Gayndah","","-25.62369","151.63943"
"126","Geelong Botanic Gardens","Geelong","VIC","-38.1490426","144.3768389"
