"locality"
"Lill-Jonskärr, c. 5 km SW of Källa parish church"
"södra stranden av Vendelsjön"
"200 m nordöst om Lönnholmen"
"SW shore of the southern point of the island Lundskär (S of Risö)"
"Burängen"
"nära Björkbacken"
"Lökaö vid Österviken i nygrävt dike"
"Björkhagen near Askarbäck"
"Träsket, östra sidan"
"Skarp-Runmarö norra udden"
"Jämtlands län: Østersund k.: mellom tollstasjonen Storlien og norskegrensa, mellom väg E 14 og jernbanen, i myr"
"Västerbottens län: Skellefteå k: ved Kåge båthamn, i vasskanten."
"Vasstarr. Uppland, Knivsta socken, Trunstaträsket. Rikligt tillsammans med Carex riparia i fuktig mark. RT-90: O. 1611.119 N. 6625.778. Rubin: 11I SV 0e 4317 nv. 13/6 2008. Torbjörn Peterson."
"Gästrikland: Högbo sn, 2250 m. NNO om Högbo kyrka, N om Rökebo, Lillsjön, S-änden, vid badplats, strandkant. RUBIN 13H 6b 0700. 11. 8. 2001. No. 4364. Leg. Göran Odelvik"
"Norrbotten Överkalix: Vallsjärv sjö, 200 m V Källesgården, äng, 100 m från sjön, 27M 1a 49 09, 2007-07-17; Haraldsson, Kerstin & Hedlund, Åsa; Bnr = nb07 4277"
"Norrbotten Nederluleå: Höbäcken, 600 m ONO Tälltjärnens västra vik, bäck, 24L 9e 30 36, 2001-08-04; Davidsson, Irma & Berthelsen, May; Bnr = nb01 3142"
"Norrbotten Tärendö: Trendöälven 400 m V Lauttakoskis forsnacke, älvstrand i vattet ovan forsnacke, 5 m från stranden, 28L 7g 42 24, 2006-07-16; Stenberg, Lennart; Bnr = nb06 2029"
"Norrbotten Överkalix: Naisheden 200 m SV-SSV om stora vägavtaget, fuktig vägkant vid åker, 26L 9i 28 07, 2008-06-24; Stenberg, Lennart & Räsänen, Juhani; Bnr = nb08 0417"
"Norrbotten Pajala: Torneälvens norra strand i Anttis vid vägskälet till Siikavaara, älvstrand, 28M 6a 01 01, 2006-07-13; Persson, Lennart & Holm, Monica; Bnr = nb06 1037"
"Skåne: Fru Alstad sn. I kärr i dåligt betad hage i kanten av damm 1,2 km SSO Kronehill. 2C0h 0039. 9.6 2011 Åke Svensson 17166"
"Norrbotten Överkalix: Bäckhultet NO om torpet, blöthål på igenväxande äng, 27L 1j 47 49, 2007-07-24; Stenberg, Lennart & Paszko, Beata; Bnr = nb07 4743"
"Norrbotten Älvsby: Frostträsket, 100 m V om sydoständan, i sjö, 24K 8g 24 29, 2004-07-11; Davidsson, Irma; Bnr = nb04 0396"
"Norrbotten Korpilombolo: Norra delen av Lahnasuando, Kalixälvens strand, 27M 4a 46 26, 2007-07-13; Hederås, Jan-Erik & Hansson, Åsa; Bnr = nb07 3625"
"Norrbotten Karl Gustav: Kankaanranta, 100 m V om bäckmynningen, norra stranden, videsnår mot äng, 26N 1d 18 13, 2006-07-03; Haraldsson, Kerstin & Autio, Valborg; Bnr = nb06 1303"
"Norrbotten Norrfjärden: Krokvattnet, sydligaste gården, åkerdike, 24L 7b 44 32, 2004-07-26; Stenberg, Lennart; Bnr = nb04 2235"
"Härjedalen: Sveg sn, Sveg, 450 m. SO om Svegs kyrka, S om campingplats, Lillön i Ljusnan, strandkant. 163D (16E) 6e 0647. 6880623, 1424773. 2. 7. 2003. No. 5992. Leg. Göran Odelvik."
"Skåne: Tygelsjö sn. 450 m ONO Tygelsjö kyrka. Vägdike vid motorväg. 2C1e 3034. 18.6 2007 Åke Svensson 14765"
"Norrbotten Hietaniemi: 500 m OSO Pallakkajärvis södra spets, blött landsvägsdike, 26M 2j 00 10, 2006-07-01; Stenberg, Lennart; Bnr = nb06 0455"
"Norrbotten Överluleå: 200 m S Hemträskets södra spets, igenväxande ängsmark vid väg, 25K 3h 28 21, 2001-09-03; Stenberg, Lennart; Bnr = nb01 3427"
"Norrbotten Nederkalix: 150 m V kojan på Hirvijärvis V strand, , 25N 7b 39 46, 2006-07-01; Renström, Berit & Groth, Hans; Bnr = nb06 1412"
"Norrbotten Älvsby: Åbergstorpet strax syd om f d huset, ladugårdsplats vid f d gård, 25K 3a 39 13, 2001-07-09; Stenberg, Lennart; Bnr = nb01 1009"
"Norrbotten Nedertorneå: Musta i nordöstra delen, strandäng med stenar, östvänd, 25N 2d 40 18, 2006-07-06; Stenberg, Lennart & Riedle, Sebastian; Bnr = nb06 0577"
"Norrbotten Råneå: Vitån 800 m SV Hedgården, bäckdelta mot granskog, 25L 6j 44 27, 2000-08-04; Groth, Hans & Renström, Berit; Bnr = nb00 1930"
"Norrbotten Hietaniemi: Taipale, slutningen mellan bondgården och älven, östra älvstranden, 26M 0i 30 15, 2006-07-04; Haraldsson, Kerstin; Bnr = nb06 1333"
"Norrbotten Nedertorneå: Sölkekari, öns centrala delar, stenig strandbård, 25N 3b 09 38, 2008-08-29; Stenberg, Lennart; Bnr = nb08 8315"
"Norrbotten Överkalix: Lomheden, 500 m SSO om högsta punkten, blött dike, 26M 5e 26 07, 2008-07-27; Jönsson, Lennart; Bnr = nb08 3863"
"Norrbotten Junosuando: Vuostojokis korsning med Saittarovavägen, jokkstrand, 28L 9e 12 15, 2006-07-21; Stenberg, Lennart; Bnr = nb06 2672"
"Norrbotten Edefors: Flarkåns norra sida 250 m nedströms landsvägsbron, åkant, 25K 9h 36 09, 2007-07-03; Persson, Lennart; Bnr = nb07 2518"
"Skåne: L. Slågarp sn. I kärr invid damm 300 m NNO kyrkan i L. Slågarp. RUBIN 1C9g 49 32.Å. Svensson, C. Wigermo 17045. 19 juni 2011"
"Norrbotten Tärendö: Tärendö vid norra bron över Tärendöälv, östra sidan, älvstrand, 28L 3j 47 17, 2002-07-19; Renström, Berit & Ecke, Frauke; Bnr = nb02 0326"
"Vasstarr. Ångermanland: Ramsele socken. Nedre Strömnäs (Skogsnäs). Norra stranden av Fjällsjöälven, ca. 100 m. SV. om infarten till Skogsnäs. Rikligt på 0.5 m djupt vatten. 2/7 2004. GPS: 63.35.250/016.33.561. RUBIN: 20 G 0h 3622. Torbjörn Peterson (S)."
"Norrbotten Överkalix: 700 m NNO om Byträskets norra ände, vägdike, 26M 3d 36 17, 2008-06-26; Stenberg, Lennart & Räsänen, Juhani; Bnr = nb08 0470"
"Norrbotten Karl Gustav: Kärrbäck 300 m NV om pkt 43,39, vägdike i åkermark, 25N 9a 46 46, 2006-07-04; Stenberg, Lennart; Bnr = nb06 0531"
"Dalsland, Örs s:n, mellan Örsjön och Götesjön, sankmark. 2004-07-15. Kjell Eriksson & Stefan Hult. 6510860 1298600"
"Norrbotten Överluleå: 400 m N-NNO Hundsjöns södra ände, sjökant, 25L 1c 23 18, 2005-07-24; Stenberg, Lennart; Bnr = nb05 2448"
"Norrbotten Piteå: Bastaberget, 450 m V-VSV pkt 176,6, Älvstrand vid forssträcka, 24K 3h 35 23, 2004-07-25; Davidsson, Irma; Bnr = nb04 1419"
"Norrbotten Tärendö: 800 m NNO om Jäkälälakis topp pkt 233,0, vägdike, 28M 0b 49 12, 2006-07-12; Stenberg, Lennart; Bnr = nb06 1903"
"Norrbotten Överkalix: Nordanmyrens värtra kant vid skogsvägen, skogsvägdike i torv, 26M 7e 45 16, 2008-07-06; Stenberg, Lennart; Bnr = nb08 0747"
"Norrbotten Muonionalusta: Kentäjoki 1,3 km V-VSV om Kenttäjärvi, bäckstrandäng, 29M 8b 42 11, 2008-08-04; Stenberg, Lennart; Bnr = nb08 7252"
"Norrbotten Gunnarsbyn: Norriån 700 m SSV om bron över Livasälven, dike mellan tegmarker, 26L 2d 16 37, 2008-06-25; Stenberg, Lennart & Räsänen, Juhani; Bnr = nb08 0440"
"Norrbotten Muonionalusta: Väg 400, 400 m OSO om Lapplandsgränsen, vägdike, 30M 5b 21 39, 2008-08-02; Stenberg, Lennart; Bnr = nb08 7131"
"Norrbotten Pajala: 1,1 km VSV Käryvaaras topp, blött vägdike vid myrmark, 28M 7f 23 13, 2006-07-23; Stenberg, Lennart; Bnr = nb06 2738"
"Norrbotten Älvsby: 500 m V Stor-Tegelberges topp, frodigs skogsvägkant, enstaka, 24K 6i 22 34, 2005-07-28; Stenberg, Lennart; Bnr = nb05 2742"
"Norrbotten Tärendö: 600 m SV om Välivaaras topp, skogsvägkant i bergsluttning, 28L 2h 19 16, 2008-07-25; Stenberg, Lennart; Bnr = nb08 2990"
"Norrbotten Älvsby: Vid landsvägen 150 m S-SSO Avans sydspets, vägkant vid myrskog, 25K 0d 45 18, 2007-07-10; Persson, Lennart & Groth, Hans; Bnr = nb07 2751"
"Norrbotten Korpilombolo: 400 m ONO om nedersta bron över Liminkajokk, dike, 27M 5a 06 48, 2008-07-27; Stenberg, Lennart; Bnr = nb08 5861"
"Norrbotten Muonionalusta: 100 m SO skogsbilvägens korsning med Vähäjoki, myr, 30M 0b 27 46, 2008-08-05; Groth, Hans & Paszko, Beata; Bnr = nb08 5388"
"Norrbotten Tärendö: 600 m NV-NNV om Maasaaris sydöstra spets, gammal älvava, 28L 4i 16 23, 2006-07-27; Stenberg, Lennart; Bnr = nb06 3221"
"Norrbotten Muonioalusta: Särkijoki vid vägbron V om Palosärkirova, jokkstrand, 29L 5i 22 38, 2008-08-05; Stenberg, Lennart; Bnr = nb08 7293"
"Norrbotten Pajala: 700 m OSO om Kaitajärvi södra ände, sumpig stig, 28M 9b 15 11, 2006-07-19; Stenberg, Lennart & Davidsson, Irma; Bnr = nb06 2631"
"Norrbotten Muonionalusta: Uusipalo vid skogsvägens korsning med Sirtaoja, vägdike, 30M 1b 04 39, 2008-08-08; Stenberg, Lennart; Bnr = nb08 7919"
"Norrbotten Pajala: 450 m O-ONO Paavonsaaris östra spets, blöt och delvis myrlik strandäng, 28M 6c 07 40, 2008-07-15; Groth, Hans & Hedlund, Åsa; Bnr = nb08 4972"
"Norrbotten Junosuando: 1,25 km N om avtaget mot Pathuri, vid vägen, myrstråk i blandskog, 29L 1g 46 15, 2008-07-27; Haraldsson, Kerstin; Bnr = nb08 6746"
"Norrbotten Muonionalusta: 450 m OSO skogsvägförgreningen sydväst om Rantapalo, björksumpskog, 29M 8e 35 05, 2001-07-21; Persson, Lennart & Jussila, Mariana; Bnr = nb01 0918"
"Norrbotten Gunnarsbyn: Renberg strax SSV, sluttande kärr, 26L 3f 26 45, 2008-07-18; Stenberg, Lennart; Bnr = nb08 2648"
"Norrbotten Övertorneå: 1,2 km N-NNV om Ansavaaras östra topp, åstrandäng, 27M 2g 40 38, 2008-07-29; Stenberg, Lennart; Bnr = nb08 5988"
"Norrbotten Piteå: Pelloträskets nordöstligaste vik, stenigt sjöstrandkärr, 24K 5g 38 14, 2004-07-25; Stenberg, Lennart; Bnr = nb04 2211"
"Norrbotten Överkalix: Vallsjärv sjö, 200 m V Källesgården, strandkant, 27M 1a 49 09, 2007-07-17; Haraldsson, Kerstin & Hedlund, Åsa; Bnr = nb07 4253"
"Norrbotten Junosuando: 150 m V Parkajärvis västra spets, blötmyr, 29L 5g 28 13, 2001-07-24; Persson, Lennart & Larsson, Ola; Bnr = nb01 2600"
"Norrbotten Korpilombolo: 150 m N om 90 graderskurvan i Salmenmaa, blött vägdike, 27M 8e 19 27, 2007-07-19; Stenberg, Lennart; Bnr = nb07 3531"
"Norrbotten Korpilombolo: Lahnajoki, mellan Matovaara och Palotieva, bäckstrandzon, 27L 5i 40 46, 2002-07-18; Persson, Lennart & Groth, Hans; Bnr = nb02 1659"
"Norrbotten Junosuando: Hiienjoki 3,2 km SV-VSV Naakakero pkt 432,4, myrbäck, 29M 5a 03 07, 2001-07-23; Persson, Lennart & Larsson, Ola; Bnr = nb01 0976"
"Norrbotten NorrfjärdenPiteå: Floxen, 300 m N västra Gåstjärnen, kant av blöt myr, 24K 6j 37 45, 2004-08-02; Stenberg, Lennart; Bnr = nb04 2375"
"Norrbotten Junosuando: 600 m NNO-NO om Huhtajärvis östra vik, myrdike vid väg, 28L 8h 20 23, 2006-07-24; Stenberg, Lennart; Bnr = nb06 2758"
"Norrbotten Hortlax: 150 m SV om Lappträskbäckens korsning med landsvägen, damm, 23L 8b 43 12, 2005-07-24; Persson, Lennart & Zethraeus, Ulf; Bnr = nb05 1721"
"Norrbotten Tärendö: 400 m SSV om Salmenjärvis södra spets, vägdike vid blötmyr, 28M 1a 47 25, 2008-07-30; Stenberg, Lennart; Bnr = nb08 6071"
